DATE,ENUC264240010SA
2000-01-01,773.4424716361369
2000-04-01,765.254169797347
2000-07-01,780.805963689046
2000-10-01,779.5786550555259
2001-01-01,832.483182691474
2001-04-01,802.285566966234
2001-07-01,796.403444281553
2001-10-01,802.5001354335781
2002-01-01,806.900885287245
2002-04-01,806.4849327446279
2002-07-01,810.072649704731
2002-10-01,809.1406302466389
2003-01-01,802.6638386688879
2003-04-01,822.1694319208921
2003-07-01,829.6428422626151
2003-10-01,825.022918117377
2004-01-01,834.8767326619859
2004-04-01,848.217822806896
2004-07-01,866.6490411088561
2004-10-01,885.361698451367
2005-01-01,875.5822225752601
2005-04-01,892.8996489128419
2005-07-01,941.572943135428
2005-10-01,918.2290014300439
2006-01-01,953.589058533152
2006-04-01,960.049378500825
2006-07-01,963.214416666122
2006-10-01,982.3752616736999
2007-01-01,1024.1888309133901
2007-04-01,1024.6856057146001
2007-07-01,1028.72861670392
2007-10-01,1037.2701428474002
2008-01-01,1062.80895868002
2008-04-01,1071.32355353315
2008-07-01,1064.12458039575
2008-10-01,1065.71338103774
2009-01-01,1037.88561600644
2009-04-01,1046.91931197777
2009-07-01,1057.92157899999
2009-10-01,1071.5333033503998
2010-01-01,1046.6504513340801
2010-04-01,1069.43779538803
2010-07-01,1098.64689605655
2010-10-01,1108.15498147826
2011-01-01,1123.07165705881
2011-04-01,1122.92785631517
2011-07-01,1169.09810618536
2011-10-01,1113.37612860908
2012-01-01,1186.41724466798
2012-04-01,1169.05034298479
2012-07-01,1165.23107104279
2012-10-01,1199.4923680463198
2013-01-01,1178.49282971892
2013-04-01,1198.96653319459
2013-07-01,1198.2889705101
2013-10-01,1198.22281879026
2014-01-01,1224.94111521215
2014-04-01,1237.88431854745
2014-07-01,1243.8406021967598
2014-10-01,1257.81509428924
2015-01-01,1261.76240736501
2015-04-01,1241.59003792729
2015-07-01,1245.0645400539
2015-10-01,1272.9522148840401
2016-01-01,1197.7290726606
2016-04-01,1243.69637443551
2016-07-01,1273.1479745454199
2016-10-01,1222.24975748225
2017-01-01,1241.8076192532599
2017-04-01,1244.37944248852
2017-07-01,1255.69856036017
2017-10-01,1258.2085043389
2018-01-01,1285.58506662658
2018-04-01,1281.5533517753802
2018-07-01,1283.7217204056801
2018-10-01,1293.18114455422
2019-01-01,1327.27731659237
2019-04-01,1315.13062142524
2019-07-01,1325.13229129761
2019-10-01,1322.35306433532
2020-01-01,1327.62768087583
2020-04-01,1366.04613082803
2020-07-01,1346.5477246215198
2020-10-01,1392.0297023275198
2021-01-01,1295.8352981565
2021-04-01,1397.03091231105
2021-07-01,1419.97696165254
2021-10-01,1472.96696231659
2022-01-01,1416.9412329148902
2022-04-01,1475.80660986711
2022-07-01,1523.30001796059
2022-10-01,1479.94853313569
2023-01-01,1546.84867994875
2023-04-01,1524.85632479121
2023-07-01,1527.51607283574
2023-10-01,1541.64940891754
2024-01-01,1591.69079865107
