DATE,ENUC479040010SA
2000-01-01,861.7937471329111
2000-04-01,870.7107752680231
2000-07-01,882.7305489631281
2000-10-01,888.887544677674
2001-01-01,915.76558917877
2001-04-01,938.0534397640289
2001-07-01,907.3092369709971
2001-10-01,920.3114468153101
2002-01-01,923.9750683134331
2002-04-01,940.1154041950759
2002-07-01,933.850324466291
2002-10-01,945.9161102818699
2003-01-01,948.692664710592
2003-04-01,972.01949284237
2003-07-01,974.570707615283
2003-10-01,987.6716896055791
2004-01-01,1005.85322076828
2004-04-01,1007.5592257523199
2004-07-01,1028.02315602413
2004-10-01,1044.68249876729
2005-01-01,1031.79185175111
2005-04-01,1060.36850293505
2005-07-01,1100.82445573215
2005-10-01,1077.7772187967
2006-01-01,1123.09559626066
2006-04-01,1110.7238310805199
2006-07-01,1111.12843858577
2006-10-01,1120.23756412235
2007-01-01,1168.85799022324
2007-04-01,1159.49225219906
2007-07-01,1169.96350737468
2007-10-01,1169.51066936164
2008-01-01,1201.77907239046
2008-04-01,1206.41833225614
2008-07-01,1198.64454269034
2008-10-01,1210.18998936001
2009-01-01,1201.91107041274
2009-04-01,1217.3110915424302
2009-07-01,1237.86927262711
2009-10-01,1264.6622497931698
2010-01-01,1231.02343296984
2010-04-01,1268.50391956247
2010-07-01,1269.68858148818
2010-10-01,1310.3150247576
2011-01-01,1266.8117138607302
2011-04-01,1301.20338431732
2011-07-01,1325.13544706555
2011-10-01,1293.9002352008301
2012-01-01,1320.5143182894901
2012-04-01,1304.58451108488
2012-07-01,1300.69259861258
2012-10-01,1332.98594274439
2013-01-01,1306.98037636761
2013-04-01,1328.1311334578
2013-07-01,1312.03582219388
2013-10-01,1301.7501551164698
2014-01-01,1341.5091907765302
2014-04-01,1331.337603832
2014-07-01,1346.06636902632
2014-10-01,1344.63812159636
2015-01-01,1370.38391396134
2015-04-01,1369.57758420247
2015-07-01,1370.7590204319301
2015-10-01,1396.9829874859
2016-01-01,1357.14830114163
2016-04-01,1385.76960860349
2016-07-01,1440.91370322775
2016-10-01,1398.1800376025699
2017-01-01,1439.6809869824801
2017-04-01,1426.68839448975
2017-07-01,1436.5727943048598
2017-10-01,1437.05343925483
2018-01-01,1483.9597562345903
2018-04-01,1464.7073800213598
2018-07-01,1478.04574963811
2018-10-01,1497.3191643191599
2019-01-01,1498.16054715379
2019-04-01,1508.49237990576
2019-07-01,1533.59966461108
2019-10-01,1537.50174757977
2020-01-01,1560.19486278452
2020-04-01,1672.54904072603
2020-07-01,1643.2412530889499
2020-10-01,1754.2272299093202
2021-01-01,1671.45335528513
2021-04-01,1709.51725308186
2021-07-01,1709.40184423763
2021-10-01,1799.2088276938898
2022-01-01,1707.90477033889
2022-04-01,1757.88273803311
2022-07-01,1816.4043137237302
2022-10-01,1775.92545449078
2023-01-01,1816.0342872993801
2023-04-01,1824.8691488935
2023-07-01,1811.7605307664498
2023-10-01,1846.6823232289103
2024-01-01,1906.72899901933
